,Actor_name,Wikipedia_movie_ID,Actor age at movie release,log_revenues,Revenue_with_inflation,revenues_in_millions
122,Robert Duvall,5899985.23255814,58.95348837209303,18.036786737749754,193108913.23291206,68.12036267123182
123,Nicole Kidman,5501385.382352941,33.8235294117647,18.034895656684128,181879946.11761194,67.9916632720536
124,Carrie Fisher,3948169.1481481483,34.888888888888886,18.030194837501792,379205085.4545898,67.67279681107802
125,Chevy Chase,3396382.6,45.1,18.025278184391183,87126860.30071057,67.34088974869066
126,Alec Baldwin,5731933.045454546,41.116279069767444,18.02527155618058,157114014.90049198,67.34044340057046
127,John Rhys-Davies,2343547.35,50.75,18.02366544146285,567761890.8966914,67.23237373269976
128,David Ogden Stiers,3569256.269230769,52.24,18.023517195600473,189045504.53436178,67.222407550217
129,Bette Midler,4134387.0416666665,47.791666666666664,18.02306307729817,123844178.23982655,67.19188755499218
130,James Remar,4618706.071428572,40.57142857142857,18.021964659864004,132394233.5308892,67.11812333363726
131,John Cleese,4393203.8,57.9,18.02159404013927,282948647.3416604,67.09325264231175
132,David Spade,5626763.409090909,36.27272727272727,18.018029856911127,119851331.83609046,66.85454564695631
133,Eugene Levy,6273077.315789473,52.73684210526316,18.005979795754435,141077823.89705095,66.05377861866198
134,Sandra Bullock,6480915.517241379,35.58620689655172,18.004096795060295,176931905.67954707,65.92951633736979
135,Bill Nighy,11319436.214285715,56.035714285714285,18.003510779796834,227154435.9809594,65.89089195282823
136,Michael Keaton,3821935.9375,44.15625,18.00214134978353,180089693.19648796,65.80072074345658
137,Jennifer Lopez,6232368.0,33.4,17.99613075438911,163500970.44526836,65.40640545635763
138,Ted Levine,4513896.2,42.05,17.9949048250706,173424465.70311594,65.32627095594316
139,James Marsden,12907267.5,32.6,17.993841093284075,209407129.8532123,65.25681827109551
140,Antonio Banderas,9505162.82857143,40.24242424242424,17.992555266178975,231638786.76628733,65.17296320847963
141,Don Cheadle,5324236.862068965,35.964285714285715,17.98769207440181,183087631.13813394,64.85678403284712
142,Jennifer Aniston,8778635.16,34.72,17.985571916260724,138360091.24974194,64.71942305912253
143,Eva Mendes,7200570.409090909,31.318181818181817,17.982584955019195,166252905.2700384,64.52639707495126
144,Vince Vaughn,5078379.44,32.28,17.982546284013683,189646630.55832377,64.52390182254156
145,Walter Matthau,7873365.321428572,58.07142857142857,17.975296495693023,128863961.93109635,64.0578087721453
146,Bill Paxton,5478638.483870967,38.2,17.969896620154778,296736685.7478233,63.71283681857253
147,Tom Kenny,14145135.818181818,45.22727272727273,17.967917063927302,257350216.8923792,63.58683842727351
148,Jude Law,7590074.62962963,31.185185185185187,17.96644588577477,173099846.44436505,63.49335963862674
149,Jennifer Coolidge,5621008.307692308,42.11538461538461,17.964103220283796,166707804.5001686,63.34479002849145
150,Robert De Niro,5390361.033898305,52.40677966101695,17.963644799474913,150342611.86857352,63.31575811353346
151,Tobey Maguire,3496524.727272727,25.09090909090909,17.96192508348136,404837510.3511705,63.20696656375769
152,Richard Gere,6708925.205882353,46.61764705882353,17.958288039274798,148692602.43846625,62.97749757957528
153,Diane Keaton,7313477.7272727275,44.71875,17.956397593324212,187372568.2598531,62.85855448746443
